Gene 	strain	condition	length	paralog	count	ncount
Haspin	A3	ctl	26594	copy2	1404.548523	0.2895316322
spook	A3	ctl	2485	copy1	110	0.2426661655
Snakeskin	A3	ctl	1113	copy1	10331.12998	50.88568166
CG6125	A3	ctl	4454	copy1	4058.424727	4.995169369
CG2233	A3	ctl	1776	copy1	30658.12481	94.63364369
CG15043	A3	ctl	971	copy1	1044.042197	5.894429226
Haspin	A3	ctl	26594	copy1	5872.451477	1.210538784
spook	A3	ctl	2484	copy2	0	0
Snakeskin	A3	ctl	1113	copy2	3315	16.32793655
CG6125	A3	ctl	4473	copy2	4994.575273	6.121285
CG2233	A3	ctl	1775	copy2	16837.87519	52.003415
CG15043	A3	ctl	972	copy2	44730.9578	252.2811885
cyp28d1	A4	ctl	1987	copy1	5155.778356	14.01866815
IntS3	A4	ctl	7159	copy1	33.36270191	0.02517788444
CG6472	A4	ctl	3989	copy1	0	0
Lapsyn	A4	ctl	5883	copy1	2467	2.265586688
Glycogenin	A4	ctl	10335	copy1	50155.95977	26.2193818
CG44245	A4	ctl	12477	copy1	105545.8209	45.70263606
mRpS5	A4	ctl	6299	copy1	33609.01101	28.82667208
Ugt86Dh	A4	ctl	2005	copy1	1599.714945	4.310608773
CG6912	A4	ctl	1867	copy1	7157.602918	20.71255462
fiz	A4	ctl	3375	copy1	3431.166667	5.492605661
cyp28d1	A4	ctl	1986	copy2	33895.22164	92.20821549
IntS3	A4	ctl	7141	copy2	8486.637298	6.420768205
CG6472	A4	ctl	3987	copy2	194	0.2628850431
Lapsyn	A4	ctl	5889	copy2	0	0
Glycogenin	A4	ctl	10336	copy2	5859.04023	3.062558284
CG44245	A4	ctl	12479	copy2	31185.17908	13.50140114
mRpS5	A4	ctl	6315	copy2	353.98899	0.3028494455
Ugt86Dh	A4	ctl	2382	copy2	1343.285055	3.046749924
CG6912	A4	ctl	1867	copy2	5560.397082	16.09058641
fiz	A4	ctl	3240	copy2	4660.833333	7.77193118
