geneName	strain 	copy	fpkm	total	length	condition	depth_n_total
Gs1	A3	2	120.0216441	52457	2396	ctl	52175.99657
cyp28d1	A3	1	2.281658157	827	1987	ctl	822.5698985
Prosβ5R2	A3	2	0.01072808079	3	1533	ctl	2.983929499
Haspin	A3	2	1.744550767	8463	26594	ctl	8417.665116
IntS3	A3	1	5.970328978	7801	7163	ctl	7759.21134
photorepair	A3	2	20.57590433	7623	2031	ctl	7582.164856
θTrypsin	A3	2	388.2882625	74158	1047	ctl	73760.74792
CG6472	A3	1	0.1885615747	137	3983	ctl	136.2661138
Lapsyn	A3	1	2.147626189	2300	5871	ctl	2287.679282
Glycogenin	A3	1	25.5445025	48125	10328	ctl	47867.20237
CG44245	A3	1	44.43289705	101120	12476	ctl	100578.317
Ugt49B1	A3	1	68.65264873	26211	2093	ctl	26070.59203
Ugt49C1	A3	1	2.625305478	1123	2345	ctl	1116.984276
CG17658	A3	1	0.1561432991	55	1931	ctl	54.70537414
spook	A3	2	0.2426661655	110	2485	ctl	109.4107483
Alp9	A3	3	6.237988762	2096	1842	ctl	2084.772076
Snakeskin	A3	2	84.20092769	17095	1113	ctl	17003.42493
mRpS5	A3	1	23.82247213	27290	6280	ctl	27143.81201
Or85f	A3	1	0.1369505332	34	1361	ctl	33.81786765
CG34117	A3	1	30.80821086	2720	484	ctl	2705.429412
Ugt86Dh	A3	1	2.989372513	1300	2384	ctl	1293.036116
DNAlig3	A3	1	4.571281111	2359	2829	ctl	2346.363229
CG31157	A3	1	0.5225943447	151	1584	ctl	150.1911181
CG7966	A3	1	24.14661397	9056	2056	ctl	9007.488513
CG6912	A3	1	20.60951091	7158	1904	ctl	7119.655784
CG6125	A3	2	12.93955638	10513	4454	ctl	10456.68361
Dlc90F	A3	2	75.80853177	11450	828	ctl	11388.66425
CG18600	A3	2	48.06620787	13450	1534	ctl	13377.95059
Ugt303B3	A3	3	13.00886958	4288	1807	ctl	4265.029897
CG1894	A3	7	0.2478586113	68	1504	ctl	67.6357353
CG2233	A3	2	160.0289207	51844	1776	ctl	51566.28031
fiz	A3	1	18.43592871	11350	3375	ctl	11289.19994
CG15044	A3	2	53.50666838	8023	822	ctl	7980.022122
CG15043	A3	2	266.6782677	47235	971	ctl	46981.96996
Mgstl	A3	1	105.5172772	21673	1126	ctl	21556.90134
Gs1	A4	1	112.0405122	49688	2396	ctl	48706.42645
cyp28d1	A4	2	106.1804779	39051	1987	ctl	38279.55763
Prosβ5R2	A4	1	0.003524262334	1	1533	ctl	0.9802452595
Haspin	A4	1	0.7749495219	2930	20427	ctl	2872.11861
IntS3	A4	2	6.426211675	8520	7163	ctl	8351.689611
photorepair	A4	1	9.025771186	3393	2031	ctl	3325.972166
θTrypsin	A4	1	103.4458546	20047	1047	ctl	19650.97672
CG6472	A4	2	0.2631490501	194	3983	ctl	190.1675803
Lapsyn	A4	2	2.270217423	2467	5871	ctl	2418.265055
Glycogenin	A4	2	29.302083	56015	10328	ctl	54908.43821
CG44245	A4	2	59.21094701	136731	12476	ctl	134029.9146
Ugt49B1	A4	5	434.5025785	168326	2093	ctl	165000.7636
Ugt49C1	A4	5	20.12705167	8736	2345	ctl	8563.422587
CG17658	A4	2	0.3049682358	109	1931	ctl	106.8467333
spook	A4	1	0.3304666044	152	2485	ctl	148.9972794
Alp9	A4	1	3.458076228	1179	1842	ctl	1155.709161
Snakeskin	A4	1	63.38073163	14758	1258	ctl	14466.45954
mRpS5	A4	2	29.21842384	33963	6280	ctl	33292.06975
Or85f	A4	2	1.238530917	312	1361	ctl	305.836521
CG34117	A4	2	62.44353537	5594	484	ctl	5483.491982
Ugt86Dh	A4	2	7.718509179	2943	2060	ctl	2884.861799
DNAlig3	A4	2	11.76408484	6160	2829	ctl	6038.310799
CG31157	A4	3	3.345986723	981	1584	ctl	961.6205996
CG7966	A4	3	79.74754976	30348	2056	ctl	29748.48314
CG6912	A4	2	36.08795394	12718	1904	ctl	12466.75921
CG6125	A4	1	8.030048345	6620	4454	ctl	6489.223618
Dlc90F	A4	1	67.8795016	10403	828	ctl	10197.49143
CG18600	A4	1	22.57227305	6409	1534	ctl	6282.391868
Ugt303B3	A4	2	5.710650715	1910	1807	ctl	1872.268446
CG1894	A4	1	0.179610843	50	1504	ctl	49.01226298
CG2233	A4	1	55.30460574	18180	1776	ctl	17820.85882
fiz	A4	2	12.67672149	7919	3375	ctl	7762.56221
CG15044	A4	1	22.99102697	3498	822	ctl	3428.897918
CG15043	A4	1	92.27979672	16585	971	ctl	16257.36763
Mgstl	A4	2	175.6979171	36618	1126	ctl	35894.62091

