geneName	copy	count_a3	condition	copy	count_a4	copy_max	slope	int
Gs1	2	52457	ctl	1	49688	2	1	1
cyp28d1	1	827	ctl	2	39051	2	1	1
Prosβ5R2	2	3	ctl	1	1	2	1	1
Haspin	2	8463	ctl	1	2930	2	1	1
IntS3	1	7801	ctl	2	8520	2	1	1
photorepair	2	7623	ctl	1	3393	2	1	1
θTrypsin	2	74158	ctl	1	20047	2	1	1
CG6472	1	137	ctl	2	194	2	1	1
Lapsyn	1	2300	ctl	2	2467	2	1	1
Glycogenin	1	48125	ctl	2	56015	2	1	1
CG44245	1	101120	ctl	2	136731	2	1	1
Ugt49B1	1	26211	ctl	5	168326	5	1	2.321928095
Ugt49C1	1	1123	ctl	5	8736	5	1	2.321928095
CG17658	1	55	ctl	2	109	2	1	1
spook	2	110	ctl	1	152	2	1	1
Alp9	3	2096	ctl	1	1179	3	1	1.584962501
Snakeskin	2	17095	ctl	1	14758	2	1	1
mRpS5	1	27290	ctl	2	33963	2	1	1
Or85f	1	34	ctl	2	312	2	1	1
CG34117	1	2720	ctl	2	5594	2	1	1
Ugt86Dh	1	1300	ctl	2	2943	2	1	1
DNAlig3	1	2359	ctl	2	6160	2	1	1
CG31157	1	151	ctl	3	981	3	1	1.584962501
CG7966	1	9056	ctl	3	30348	3	1	1.584962501
CG6912	1	7158	ctl	2	12718	2	1	1
CG6125	2	10513	ctl	1	6620	2	1	1
Dlc90F	2	11450	ctl	1	10403	2	1	1
CG18600	2	13450	ctl	1	6409	2	1	1
Ugt303B3	3	4288	ctl	2	1910	3	1	1.584962501
CG1894	7	68	ctl	1	50	7	1	2.807354922
CG2233	2	51844	ctl	1	18180	2	1	1
fiz	1	11350	ctl	2	7919	2	1	1
CG15044	2	8023	ctl	1	3498	2	1	1
CG15043	2	47235	ctl	1	16585	2	1	1
Mgstl	1	21673	ctl	2	36618	2	1	1
