geneName	strain 	copy	fpkm	total	length	condition	depth_n_total
Gs1	A3	2	120.0216441	52457	2396	ctl	52175.99657
cyp28d1	A3	1	2.281658157	827	1987	ctl	822.5698985
Prosβ5R2	A3	2	0.01072808079	3	1533	ctl	2.983929499
Haspin	A3	2	1.744550767	8463	26594	ctl	8417.665116
IntS3	A3	1	5.970328978	7801	7163	ctl	7759.21134
photorepair	A3	2	20.57590433	7623	2031	ctl	7582.164856
θTrypsin	A3	2	388.2882625	74158	1047	ctl	73760.74792
CG6472	A3	1	0.1885615747	137	3983	ctl	136.2661138
Lapsyn	A3	1	2.147626189	2300	5871	ctl	2287.679282
Glycogenin	A3	1	25.5445025	48125	10328	ctl	47867.20237
CG44245	A3	1	44.43289705	101120	12476	ctl	100578.317
Ugt49B1	A3	1	68.65264873	26211	2093	ctl	26070.59203
Ugt49C1	A3	1	2.625305478	1123	2345	ctl	1116.984276
CG17658	A3	1	0.1561432991	55	1931	ctl	54.70537414
spook	A3	2	0.2426661655	110	2485	ctl	109.4107483
Alp9	A3	3	6.237988762	2096	1842	ctl	2084.772076
Snakeskin	A3	2	84.20092769	17095	1113	ctl	17003.42493
mRpS5	A3	1	23.82247213	27290	6280	ctl	27143.81201
Or85f	A3	1	0.1369505332	34	1361	ctl	33.81786765
CG34117	A3	1	30.80821086	2720	484	ctl	2705.429412
Ugt86Dh	A3	1	2.989372513	1300	2384	ctl	1293.036116
DNAlig3	A3	1	4.571281111	2359	2829	ctl	2346.363229
CG31157	A3	1	0.5225943447	151	1584	ctl	150.1911181
CG7966	A3	1	24.14661397	9056	2056	ctl	9007.488513
CG6912	A3	1	20.60951091	7158	1904	ctl	7119.655784
CG6125	A3	2	12.93955638	10513	4454	ctl	10456.68361
Dlc90F	A3	2	75.80853177	11450	828	ctl	11388.66425
CG18600	A3	2	48.06620787	13450	1534	ctl	13377.95059
Ugt303B3	A3	3	13.00886958	4288	1807	ctl	4265.029897
