Gene 	strain	condition	length	paralog	count1	count2	count_n1	count_n2
Haspin	A3	nic	26594	copy2	8672.672619	2133.327381	8672.672619	2133.327381
spook	A3	nic	2485	copy1	122	0	122	0
Snakeskin	A3	nic	1113	copy1	15867.06102	8571	15867.06102	8571
CG6125	A3	nic	4454	copy1	5090.34563	8228.65437	5090.34563	8228.65437
CG2233	A3	nic	1776	copy1	95712.94663	106762.0534	95712.94663	106762.0534
CG15043	A3	nic	971	copy1	1755.167949	65026.83205	1755.167949	65026.83205
cyp28d1	A4	nic	1987	copy1	5879.779298	29684.2207	5784.399049	29202.691
IntS3	A4	nic	7159	copy1	16.44869215	8158.551308	16.18186575	8026.205412
CG6472	A4	nic	3989	copy1	257.1428571	642.8571429	252.9715527	632.4288816
Lapsyn	A4	nic	5883	copy1	2930.788382	12.21161826	2883.245896	12.01352456
Glycogenin	A4	nic	10335	copy1	55158.22847	9098.771527	54263.46605	8951.173624
CG44245	A4	nic	12477	copy1	117281.8217	43994.17829	115379.3065	43280.51618
mRpS5	A4	nic	6299	copy1	25633.5814	28.41860465	25217.76011	27.95760544
Ugt86Dh	A4	nic	2005	copy1	2861.461217	2430.538783	2815.043338	2391.111216
CG6912	A4	nic	1867	copy1	11205.97565	10534.02435	11024.19523	10363.14415
fiz	A4	nic	3375	copy1	5906.981424	8226.018576	5811.159909	8092.578244
Haspin	A3	ctl	26594	copy2	5872.451477	1404.548523	5840.99373	1397.02459
spook	A3	ctl	2485	copy1	110	0	109.4107483	0
Snakeskin	A3	ctl	1113	copy1	10331.12998	3315	10275.78783	3297.242096
CG6125	A3	ctl	4454	copy1	4058.424727	4994.575273	4036.68442	4967.820164
CG2233	A3	ctl	1776	copy1	30658.12481	16837.87519	30493.89433	16747.67749
CG15043	A3	ctl	971	copy1	1044.042197	44730.9578	1038.449436	44491.3415
cyp28d1	A4	ctl	1987	copy1	5155.778356	33895.22164	5053.927293	33225.63034
IntS3	A4	ctl	7159	copy1	33.36270191	8486.637298	32.70363039	8318.985981
CG6472	A4	ctl	3989	copy1	0	194	0	190.1675803
Lapsyn	A4	ctl	5883	copy1	2467	0	2418.265055	0
Glycogenin	A4	ctl	10335	copy1	50155.95977	5859.04023	49165.1418	5743.296411
CG44245	A4	ctl	12477	copy1	105545.8209	31185.17908	103460.7906	30569.12396
mRpS5	A4	ctl	6299	copy1	33609.01101	353.98899	32945.07372	346.9960294
Ugt86Dh	A4	ctl	2005	copy1	1599.714945	1343.285055	1568.112992	1316.748807
CG6912	A4	ctl	1867	copy1	7157.602918	5560.397082	7016.20633	5450.55288
fiz	A4	ctl	3375	copy1	3431.166667	4660.833333	3363.38486	4568.75978
