geneName	copy	count_a3	condition	copy	count_a4	copy_max	slope	int
Gs1	2	52457	ctl	1	49688	2	1	1
cyp28d1	1	827	ctl	2	39051	2	1	1
ProsB5R2	2	3	ctl	1	1	2	1	1
Haspin	2	8463	ctl	1	2930	2	1	1
IntS3	1	7801	ctl	2	8520	2	1	1
photorepair	2	7623	ctl	1	3393	2	1	1
0Trypsin	2	74158	ctl	1	20047	2	1	1
CG6472	1	137	ctl	2	194	2	1	1
Lapsyn	1	2300	ctl	2	2467	2	1	1
Glycogenin	1	48125	ctl	2	56015	2	1	1
CG44245	1	101120	ctl	2	136731	2	1	1
Ugt49B1	1	26211	ctl	5	168326	5	1	2.321928095
Ugt49C1	1	1123	ctl	5	8736	5	1	2.321928095
CG17658	1	55	ctl	2	109	2	1	1
spook	2	110	ctl	1	152	2	1	1
Alp9	3	2096	ctl	1	1179	3	1	1.584962501
Snakeskin	2	17095	ctl	1	14758	2	1	1
mRpS5	1	27290	ctl	2	33963	2	1	1
Or85f	1	34	ctl	2	312	2	1	1
CG34117	1	2720	ctl	2	5594	2	1	1
Ugt86Dh	1	1300	ctl	2	2943	2	1	1
DNAlig3	1	2359	ctl	2	6160	2	1	1
CG31157	1	151	ctl	3	981	3	1	1.584962501
CG7966	1	9056	ctl	3	30348	3	1	1.584962501
CG6912	1	7158	ctl	2	12718	2	1	1
CG6125	2	10513	ctl	1	6620	2	1	1
Dlc90F	2	11450	ctl	1	10403	2	1	1
CG18600	2	13450	ctl	1	6409	2	1	1
Ugt303B3	3	4288	ctl	2	1910	3	1	1.584962501
CG1894	7	68	ctl	1	50	7	1	2.807354922
CG2233	2	51844	ctl	1	18180	2	1	1
fiz	1	11350	ctl	2	7919	2	1	1
CG15044	2	8023	ctl	1	3498	2	1	1
CG15043	2	47235	ctl	1	16585	2	1	1
Mgstl	1	21673	ctl	2	36618	2	1	1
Gs1	2	109097	nic	1	86772	2	1	1
cyp28d1	1	12636	nic	2	35564	2	1	1
ProsB5R2	2	0	nic	1	0	2	1	1
Haspin	2	10806	nic	1	2856	2	1	1
IntS3	1	8185	nic	2	8175	2	1	1
photorepair	2	7440	nic	1	2929	2	1	1
0Trypsin	2	31622	nic	1	18296	2	1	1
CG6472	1	604	nic	2	900	2	1	1
Lapsyn	1	3486	nic	2	2943	2	1	1
Glycogenin	1	47938	nic	2	64257	2	1	1
CG44245	1	104904	nic	2	161276	2	1	1
Ugt49B1	1	31163	nic	5	201650	5	1	2.321928095
Ugt49C1	1	2242	nic	5	9562	5	1	2.321928095
CG17658	1	54	nic	2	79	2	1	1
spook	2	122	nic	1	135	2	1	1
Alp9	3	345	nic	1	4893	3	1	1.584962501
Snakeskin	2	24438	nic	1	15295	2	1	1
mRpS5	1	29097	nic	2	25662	2	1	1
Or85f	1	19	nic	2	266	2	1	1
CG34117	1	1801	nic	2	4363	2	1	1
Ugt86Dh	1	3018	nic	2	5292	2	1	1
DNAlig3	1	2085	nic	2	6015	2	1	1
CG31157	1	156	nic	3	847	3	1	1.584962501
CG7966	1	6080	nic	3	27963	3	1	1.584962501
CG6912	1	11775	nic	2	21740	2	1	1
CG6125	2	13319	nic	1	7569	2	1	1
Dlc90F	2	9473	nic	1	9589	2	1	1
CG18600	2	3603	nic	1	2438	2	1	1
Ugt303B3	3	8198	nic	2	2812	3	1	1.584962501
CG1894	7	266	nic	1	47	7	1	2.807354922
CG2233	2	202475	nic	1	37455	2	1	1
fiz	1	15777	nic	2	14133	2	1	1
CG15044	2	14378	nic	1	6620	2	1	1
CG15043	2	66782	nic	1	18834	2	1	1
Mgstl	1	17014	nic	2	39709	2	1	1
