position	strain	fill 	geneName	label
10.09862719	1	"to other chromosome"	Haspin	TRUE
26.60213044	1	1	Or85f	TRUE
26.60798556	1	1	CG34117	TRUE
32.26959136	1	1	Ugt86Dh	TRUE
36.16203629	1	1	DNAlig3	TRUE
38.25073334	1	1	CG31157	TRUE
38.26250016	1	1	CG7966	TRUE
44.81775821	1	1	CG6912	TRUE
45.67320604	1	2	CG6125	TRUE
45.65206412	1	2	CG6125	FALSE
54.72200358	1	2	Dlc90F	TRUE
54.73290296	1	2	Dlc90F	FALSE
54.72989526	1	2	CG18600	TRUE
54.74067836	1	2	CG18600	FALSE
71.21034889	1	3	Ugt303B3	TRUE
71.18557698	1	3	Ugt303B3	FALSE
71.19795351	1	3	Ugt303B3	FALSE
86.69236466	1	7	CG1894	TRUE
86.66141393	1	7	CG1894	FALSE
86.66759904	1	7	CG1894	FALSE
86.67379045	1	7	CG1894	FALSE
86.68617326	1	7	CG1894	FALSE
86.69855607	1	7	CG1894	FALSE
86.67998185	1	7	CG1894	FALSE
29.53705108	2	1	Or85f	TRUE
29.54158935	2	1	CG34117	TRUE
35.12308717	2	1	Ugt86Dh	TRUE
38.97565568	2	1	DNAlig3	TRUE
41.00789153	2	1	CG31157	TRUE
41.01764377	2	1	CG7966	TRUE
47.57274468	2	1	CG6912	TRUE
48.42149825	2	1	CG6125	TRUE
57.51224335	2	1	Dlc90F	TRUE
57.51902875	2	1	CG18600	TRUE
73.96516251	2	1	Ugt303B3	TRUE
89.52284228	2	1	CG1894	TRUE
28.63998255	3	2	Or85f	TRUE
28.64633738	3	2	Or85f	FALSE
28.64583767	3	2	CG34117	TRUE
28.6521925	3	2	CG34117	FALSE
34.24280457	3	2	Ugt86Dh	TRUE
34.23350804	3	2	Ugt86Dh	FALSE
38.20584723	3	2	DNAlig3	TRUE
38.22795715	3	2	DNAlig3	FALSE
40.31925334	3	3	CG31157	TRUE
40.34225267	3	3	CG31157	FALSE
40.36525201	3	3	CG31157	FALSE
40.33101386	3	3	CG7966	TRUE
40.3540132	3	3	CG7966	FALSE
40.37701254	3	3	CG7966	FALSE
46.88893704	3	2	CG6912	TRUE
46.9119081	3	2	CG6912	FALSE
47.76882364	3	1	CG6125	TRUE
56.88075779	3	1	Dlc90F	TRUE
56.88864947	3	1	CG18600	TRUE
73.41642492	3	2	Ugt303B3	TRUE
73.40396668	3	2	Ugt303B3	FALSE
88.89036044	3	1	CG1894	TRUE
