Gene 	strain	condition	length	paralog	count1	count2	count_n1	count_n2
Haspin	A3	ctl	26594	copy2	5872.451477	1404.548523	5840.99373	1397.02459
spook	A3	ctl	2485	copy1	110	0	109.4107483	0
Snakeskin	A3	ctl	1113	copy1	10331.12998	3315	10275.78783	3297.242096
CG6125	A3	ctl	4454	copy1	4058.424727	4994.575273	4036.68442	4967.820164
CG2233	A3	ctl	1776	copy1	30658.12481	16837.87519	30493.89433	16747.67749
CG15043	A3	ctl	971	copy1	1044.042197	44730.9578	1038.449436	44491.3415
cyp28d1	A4	ctl	1987	copy1	5155.778356	33895.22164	5053.927293	33225.63034
IntS3	A4	ctl	7159	copy1	33.36270191	8486.637298	32.70363039	8318.985981
CG6472	A4	ctl	3989	copy1	0	194	0	190.1675803
Lapsyn	A4	ctl	5883	copy1	2467	0	2418.265055	0
Glycogenin	A4	ctl	10335	copy1	50155.95977	5859.04023	49165.1418	5743.296411
CG44245	A4	ctl	12477	copy1	105545.8209	31185.17908	103460.7906	30569.12396
mRpS5	A4	ctl	6299	copy1	33609.01101	353.98899	32945.07372	346.9960294
Ugt86Dh	A4	ctl	2005	copy1	1599.714945	1343.285055	1568.112992	1316.748807
CG6912	A4	ctl	1867	copy1	7157.602918	5560.397082	7016.20633	5450.55288
fiz	A4	ctl	3375	copy1	3431.166667	4660.833333	3363.38486	4568.75978
