geneName	copy_max	slope	int	copy1	copy2	copy3	copy5	copy7	copyn	lb	ollr	yheight	yhrandom
CG1894	7	1	2.807355	4.90E+01	NA	NA	NA	67.63574	6.76E+01	30	-2.34271199	1.12	0.6073843984
fiz	2	1	1	1.13E+04	7.76E+03	NA	NA	NA	7.76E+03	32	-1.54033842	0.5	0.7052381147
spook	2	1	1	1.49E+02	1.09E+02	NA	NA	NA	1.09E+02	15	-1.44553152	1.5	1.540271415
Lapsyn	2	1	1	2.29E+03	2.42E+03	NA	NA	NA	2.42E+03	9	-0.91991243	0.5	0.6341515145
Gs1	2	1	1	4.87E+04	5.22E+04	NA	NA	NA	5.22E+04	1	-0.90072589	5.5	5.541117757
IntS3	2	1	1	7.76E+03	8.35E+03	NA	NA	NA	8.35E+03	5	-0.89384193	4.5	4.566129699
Dlc90F	2	1	1	1.02E+04	1.14E+04	NA	NA	NA	1.14E+04	27	-0.84061575	3.5	3.584822265
Glycogenin	2	1	1	4.79E+04	5.49E+04	NA	NA	NA	5.49E+04	10	-0.80200961	2.5	2.650216042
Snakeskin	2	1	1	1.45E+04	1.70E+04	NA	NA	NA	1.70E+04	17	-0.76688651	1.5	1.517839953
Alp9	3	1	1.584963	1.16E+03	NA	2084.7721	NA	NA	2.08E+03	16	-0.73385122	0.5	0.6271996741
mRpS5	2	1	1	2.71E+04	3.33E+04	NA	NA	NA	3.33E+04	18	-0.70544478	6.5	6.575843905
CG44245	2	1	1	1.01E+05	1.34E+05	NA	NA	NA	1.34E+05	11	-0.58576428	7.5	7.603522082
CG6472	2	1	1	1.36E+02	1.90E+02	NA	NA	NA	1.90E+02	8	-0.51915553	0.5	0.5104011161
CG6125	2	1	1	6.49E+03	1.05E+04	NA	NA	NA	1.05E+04	26	-0.31169242	1.5	1.52268922
Mgstl	2	1	1	2.16E+04	3.59E+04	NA	NA	NA	3.59E+04	35	-0.26438215	2.5	2.591184166
CG6912	2	1	1	7.12E+03	1.25E+04	NA	NA	NA	1.25E+04	25	-0.19179292	3.5	3.650739407
CG17658	2	1	1	5.47E+01	1.07E+02	NA	NA	NA	1.07E+02	14	-0.03421167	3.5	3.715306742
CG34117	2	1	1	2.71E+03	5.48E+03	NA	NA	NA	5.48E+03	20	0.01923732	2.5	2.632644194
CG18600	2	1	1	6.28E+03	1.34E+04	NA	NA	NA	1.34E+04	28	0.09047128	1.5	1.576509884
CG7966	3	1	1.584963	9.01E+03	NA	29748.4831	NA	NA	2.97E+04	24	0.1386568	0.5	0.5118322842
Ugt86Dh	2	1	1	1.29E+03	2.88E+03	NA	NA	NA	2.88E+03	21	0.15773964	4.5	4.705653296
photorepair	2	1	1	3.33E+03	7.58E+03	NA	NA	NA	7.58E+03	6	0.18883373	2.5	2.613694443
CG15044	2	1	1	3.43E+03	7.98E+03	NA	NA	NA	7.98E+03	33	0.21864779	1.5	1.544041871
Ugt49B1	5	1	2.321928	2.61E+04	NA	NA	165000.764	NA	1.65E+05	12	0.34004936	0.5	0.645725859
DNAlig3	2	1	1	2.35E+03	6.04E+03	NA	NA	NA	6.04E+03	22	0.36371865	3.5	3.503957365
CG15043	2	1	1	1.63E+04	4.70E+04	NA	NA	NA	4.70E+04	34	0.53101353	4.5	4.535572943
CG2233	2	1	1	1.78E+04	5.16E+04	NA	NA	NA	5.16E+04	31	0.53286112	5.5	5.567942044
Haspin	2	1	1	2.87E+03	8.42E+03	NA	NA	NA	8.42E+03	4	0.55130479	2.5	2.503762128
Prosβ5R2	2	1	1	9.80E-01	2.98E+00	NA	NA	NA	2.98E+00	3	0.60599878	1.5	1.714122367
Ugt49C1	5	1	2.321928	1.12E+03	NA	NA	8563.423	NA	8.56E+03	13	0.61665055	0.5	0.6192930679
θTrypsin	2	1	1	1.97E+04	7.38E+04	NA	NA	NA	7.38E+04	7	0.90825226	1.5	1.698552567
CG31157	3	1	1.584963	1.50E+02	NA	961.6206	NA	NA	9.62E+02	23	1.0937058	0.5	0.5239779238
Or85f	2	1	1	3.38E+01	3.06E+02	NA	NA	NA	3.06E+02	19	2.17690309	0.5	0.6942399375
cyp28d1	2	1	1	8.23E+02	3.83E+04	NA	NA	NA	3.83E+04	2	4.54029207	0.5	0.5497088268
