position	strain	fill	geneName	label
10.84170255	1	"to other chromosome"	Snakeskin	TRUE
33.2495791	1	2	CG2233	TRUE
33.27084448	1	2	CG2233	FALSE
62.39756532	1	1	fiz	TRUE
77.66188288	1	2	CG15044	TRUE
77.69506636	1	2	CG15044	FALSE
77.704168	1	2	CG15043	TRUE
77.67098451	1	2	CG15043	FALSE
88.26141588	1	1	Mgstl	TRUE
34.04011682	2	1	CG2233	TRUE
63.14255252	2	1	fiz	TRUE
78.31644244	2	1	CG15044	TRUE
78.32677231	2	1	CG15043	TRUE
89.12112857	2	1	Mgstl	TRUE
33.26258143	3	1	CG2233	TRUE
62.3029278	3	2	fiz	TRUE
62.32115648	3	2	fiz	FALSE
77.73145596	3	1	CG15044	TRUE
77.74059995	3	1	CG15043	TRUE
88.57035051	3	2	Mgstl	TRUE
88.58176461	3	2	Mgstl	FALSE
-10	3	1	fake	FALSE
-10	3	2	fake	FALSE
-10	3	3	fake	FALSE
-10	3	5	fake	FALSE
-10	3	7	fake FALSE
-10	3	1	fake	FALSE
-10	3	2	fake	FALSE
