position	strain	fill	geneName	label
14.06600616	1	"to other chromosome"	Haspin	TRUE
14.95144011	1	1	IntS3	TRUE
28.79486914	1	2	photorepair	TRUE
28.81143164	1	2	photorepair	FALSE
42.48515793	1	2	θTrypsin	TRUE
42.50962881	1	2	θTrypsin	FALSE
64.30697864	1	1	CG6472	TRUE
81.00981983	1	1	Lapsyn	TRUE
81.03698703	1	1	Glycogenin	TRUE
81.03698703	1	1	CG44245	TRUE
81.09380972	1	1	Ugt49B1	TRUE
81.10479512	1	1	Ugt49C1	TRUE
91.78459593	1	1	CG17658	TRUE
15.75463461	2	1	Haspin	TRUE
16.6518193	2	1	IntS3	TRUE
30.71322956	2	1	photorepair	TRUE
44.51445564	2	1	θTrypsin	TRUE
66.25367191	2	1	CG6472	TRUE
83.1955546	2	1	Lapsyn	TRUE
83.22303577	2	1	Glycogenin	TRUE
83.24905694	2	1	CG44245	TRUE
83.26155338	2	1	Ugt49B1	TRUE
83.27258196	2	1	Ugt49C1	TRUE
93.78319416	2	1	CG17658	TRUE
16.17618928	3	1	Haspin	TRUE
16.77950747	3	2	IntS3	TRUE
16.35077442	3	2	IntS3	FALSE
30.58055301	3	1	photorepair	TRUE
44.30126654	3	1	θTrypsin	TRUE
66.2430829	3	2	CG6472	TRUE
66.2102248	3	2	CG6472	FALSE
83.18494204	3	2	Lapsyn	TRUE
99.83839796	3	2	Lapsyn	FALSE
83.23193713	3	2	Glycogenin	TRUE
99.90513068	3	2	Glycogenin	FALSE
83.23193713	3	2	CG44245	TRUE
99.90513068	3	2	CG44245	FALSE
83.2887873	3	5	Ugt49B1	TRUE
83.31224952	3	5	Ugt49B1	FALSE
83.33570781	3	5	Ugt49B1	FALSE
99.96198869	3	5	Ugt49B1	False
99.98547053	3	5	Ugt49B1	FALSE
83.29968243	3	5	Ugt49C1	TRUE
83.32314465	3	5	Ugt49C1	FALSE
83.34660295	3	5	Ugt49C1	FALSE
99.97288775	3	5	Ugt49C1	FALSE
99.9963539	3	5	Ugt49C1	FALSE
93.87582244	3	2	CG17658	TRUE
93.86124588	3	2	CG17658	FALSE
